gender,age,count,etl_timestamp
Male,20-34,9,2020-09-16 17:20:03
Male,35-54,81,2020-09-16 17:20:03
Female,55-74,275,2020-09-16 17:20:03
Female,75+,547,2020-09-16 17:20:03
Male,55-74,384,2020-09-16 17:20:03
Female,35-54,38,2020-09-16 17:20:03
Male,75+,432,2020-09-16 17:20:03
