gender,age,count,etl_timestamp
Male,20-34,7,2020-06-16 17:20:02
Male,35-54,62,2020-06-16 17:20:02
Male,55-74,314,2020-06-16 17:20:02
Female,35-54,28,2020-06-16 17:20:02
Male,75+,371,2020-06-16 17:20:02
Female,55-74,239,2020-06-16 17:20:02
Female,75+,469,2020-06-16 17:20:02
