racial_identity,count,etl_timestamp
White,6069,2020-09-09 17:20:02
NA,5872,2020-09-09 17:20:02
OTHER,1300,2020-09-09 17:20:02
African,8,2020-09-09 17:20:02
Pacific Islander,16,2020-09-09 17:20:02
Native American,30,2020-09-09 17:20:02
UNKNOWN,264,2020-09-09 17:20:02
Asian,1184,2020-09-09 17:20:02
HISPANIC,4768,2020-09-09 17:20:02
African American,15299,2020-09-09 17:20:02
