racial_identity,count,etl_timestamp
White,5132,2020-08-20 17:20:02
NA,7023,2020-08-20 17:20:02
OTHER,1161,2020-08-20 17:20:02
African,8,2020-08-20 17:20:02
Pacific Islander,15,2020-08-20 17:20:02
Native American,30,2020-08-20 17:20:02
UNKNOWN,272,2020-08-20 17:20:02
Asian,1071,2020-08-20 17:20:02
HISPANIC,3726,2020-08-20 17:20:02
African American,14236,2020-08-20 17:20:02
