racial_identity,count,etl_timestamp
White,6326,2020-09-19 17:20:03
NA,5945,2020-09-19 17:20:03
OTHER,1334,2020-09-19 17:20:03
African,8,2020-09-19 17:20:03
Pacific Islander,16,2020-09-19 17:20:03
Native American,30,2020-09-19 17:20:03
UNKNOWN,291,2020-09-19 17:20:03
Asian,1206,2020-09-19 17:20:03
HISPANIC,4899,2020-09-19 17:20:03
African American,15528,2020-09-19 17:20:03
