racial_identity,count,etl_timestamp
White,5082,2020-08-14 17:20:02
NA,6630,2020-08-14 17:20:02
OTHER,1147,2020-08-14 17:20:02
African,8,2020-08-14 17:20:02
Pacific Islander,15,2020-08-14 17:20:02
Native American,30,2020-08-14 17:20:02
UNKNOWN,262,2020-08-14 17:20:02
Asian,1069,2020-08-14 17:20:02
HISPANIC,3672,2020-08-14 17:20:02
African American,14142,2020-08-14 17:20:02
