racial_identity,count,etl_timestamp
White,6326,2020-09-18 17:20:01
NA,5945,2020-09-18 17:20:01
OTHER,1334,2020-09-18 17:20:01
African,8,2020-09-18 17:20:01
Pacific Islander,16,2020-09-18 17:20:01
Native American,30,2020-09-18 17:20:01
UNKNOWN,291,2020-09-18 17:20:01
Asian,1206,2020-09-18 17:20:01
HISPANIC,4899,2020-09-18 17:20:01
African American,15528,2020-09-18 17:20:01
