gender,age,count,etl_timestamp
Male,20-34,7,2020-06-30 17:20:01
Male,35-54,67,2020-06-30 17:20:01
Male,55-74,333,2020-06-30 17:20:01
Female,35-54,30,2020-06-30 17:20:01
Male,75+,389,2020-06-30 17:20:01
Female,55-74,254,2020-06-30 17:20:01
Female,75+,499,2020-06-30 17:20:01
