gender,age,count,etl_timestamp
Male,20-34,9,2020-08-21 17:20:03
Male,35-54,78,2020-08-21 17:20:03
Female,55-74,273,2020-08-21 17:20:03
Female,75+,537,2020-08-21 17:20:03
Male,55-74,371,2020-08-21 17:20:03
Female,35-54,38,2020-08-21 17:20:03
Male,75+,424,2020-08-21 17:20:03
