gender,age,count,etl_timestamp
Male,20-34,7,2020-07-01 17:20:02
Male,35-54,68,2020-07-01 17:20:02
Male,55-74,337,2020-07-01 17:20:02
Female,35-54,30,2020-07-01 17:20:02
Male,75+,395,2020-07-01 17:20:02
Female,55-74,257,2020-07-01 17:20:02
Female,75+,510,2020-07-01 17:20:02
