gender,age,count,etl_timestamp
Male,20-34,9,2020-09-17 17:20:02
Male,35-54,81,2020-09-17 17:20:02
Female,55-74,275,2020-09-17 17:20:02
Female,75+,547,2020-09-17 17:20:02
Male,55-74,385,2020-09-17 17:20:02
Female,35-54,38,2020-09-17 17:20:02
Male,75+,433,2020-09-17 17:20:02
