racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-03 17:20:02,958,3661
White,2020-09-03 17:20:02,1163,4675
UNKNOWN,2020-09-03 17:20:02,60,213
Native American,2020-09-03 17:20:02,4,26
Asian,2020-09-03 17:20:02,260,901
AFRICAN AMERICAN,2020-09-03 17:20:02,3869,11239
NA,2020-09-03 17:20:02,134,5853
Pacific Islander,2020-09-03 17:20:02,6,9
OTHER,2020-09-03 17:20:02,255,1025
