racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-15 17:20:02,971,3887
White,2020-09-15 17:20:02,1186,5098
UNKNOWN,2020-09-15 17:20:02,61,216
Native American,2020-09-15 17:20:02,4,26
Asian,2020-09-15 17:20:02,260,941
AFRICAN AMERICAN,2020-09-15 17:20:02,3904,11577
NA,2020-09-15 17:20:02,133,5729
Pacific Islander,2020-09-15 17:20:02,6,10
OTHER,2020-09-15 17:20:02,258,1077
