racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-14 17:20:02,969,3825
White,2020-09-14 17:20:02,1180,5010
UNKNOWN,2020-09-14 17:20:02,60,217
Native American,2020-09-14 17:20:02,4,26
Asian,2020-09-14 17:20:02,260,924
AFRICAN AMERICAN,2020-09-14 17:20:02,3895,11521
NA,2020-09-14 17:20:02,135,5888
Pacific Islander,2020-09-14 17:20:02,6,10
OTHER,2020-09-14 17:20:02,257,1070
