racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-27 17:20:02,926,3343
White,2020-08-27 17:20:02,1130,4450
UNKNOWN,2020-08-27 17:20:02,60,182
Native American,2020-08-27 17:20:02,4,26
Asian,2020-08-27 17:20:02,257,878
AFRICAN AMERICAN,2020-08-27 17:20:02,3842,10961
NA,2020-08-27 17:20:02,143,5926
Pacific Islander,2020-08-27 17:20:02,6,9
OTHER,2020-08-27 17:20:02,255,945
