racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-24 17:20:02,998,3986
White,2020-09-24 17:20:02,1205,5280
UNKNOWN,2020-09-24 17:20:02,62,229
Native American,2020-09-24 17:20:02,4,27
Asian,2020-09-24 17:20:02,256,968
AFRICAN AMERICAN,2020-09-24 17:20:02,3947,11729
NA,2020-09-24 17:20:02,134,5900
Pacific Islander,2020-09-24 17:20:02,6,10
OTHER,2020-09-24 17:20:02,264,1107
