racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-18 17:20:01,988,3911
White,2020-09-18 17:20:01,1198,5128
UNKNOWN,2020-09-18 17:20:01,62,229
Native American,2020-09-18 17:20:01,4,26
Asian,2020-09-18 17:20:01,260,946
AFRICAN AMERICAN,2020-09-18 17:20:01,3934,11594
NA,2020-09-18 17:20:01,134,5811
Pacific Islander,2020-09-18 17:20:01,6,10
OTHER,2020-09-18 17:20:01,262,1080
