racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-23 17:20:02,998,3980
White,2020-09-23 17:20:02,1205,5273
UNKNOWN,2020-09-23 17:20:02,62,228
Native American,2020-09-23 17:20:02,4,27
Asian,2020-09-23 17:20:02,256,968
AFRICAN AMERICAN,2020-09-23 17:20:02,3948,11716
NA,2020-09-23 17:20:02,134,5821
Pacific Islander,2020-09-23 17:20:02,6,10
OTHER,2020-09-23 17:20:02,264,1104
