racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-19 17:20:02,903,2808
White,2020-08-19 17:20:02,1114,4011
UNKNOWN,2020-08-19 17:20:02,72,199
Native American,2020-08-19 17:20:02,4,26
Asian,2020-08-19 17:20:02,256,815
AFRICAN AMERICAN,2020-08-19 17:20:02,3787,10431
NA,2020-08-19 17:20:02,150,6815
Pacific Islander,2020-08-19 17:20:02,6,9
OTHER,2020-08-19 17:20:02,252,911
