racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-18 17:20:02,903,2791
White,2020-08-18 17:20:02,1114,4000
UNKNOWN,2020-08-18 17:20:02,72,197
Native American,2020-08-18 17:20:02,4,26
Asian,2020-08-18 17:20:02,256,814
AFRICAN AMERICAN,2020-08-18 17:20:02,3787,10408
NA,2020-08-18 17:20:02,149,6736
Pacific Islander,2020-08-18 17:20:02,6,9
OTHER,2020-08-18 17:20:02,252,908
