racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-08 17:20:02,964,3677
White,2020-09-08 17:20:02,1171,4704
UNKNOWN,2020-09-08 17:20:02,59,212
Native American,2020-09-08 17:20:02,4,26
Asian,2020-09-08 17:20:02,260,904
AFRICAN AMERICAN,2020-09-08 17:20:02,3873,11298
NA,2020-09-08 17:20:02,135,6142
Pacific Islander,2020-09-08 17:20:02,6,10
OTHER,2020-09-08 17:20:02,255,1042
