racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-26 17:20:02,925,3209
White,2020-08-26 17:20:02,1126,4395
UNKNOWN,2020-08-26 17:20:02,66,200
Native American,2020-08-26 17:20:02,4,26
Asian,2020-08-26 17:20:02,257,871
AFRICAN AMERICAN,2020-08-26 17:20:02,3838,10901
NA,2020-08-26 17:20:02,144,6081
Pacific Islander,2020-08-26 17:20:02,6,9
OTHER,2020-08-26 17:20:02,254,943
