zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-09-03 17:20:02,446,151
19132,2020-09-03 17:20:02,590,233
19146,2020-09-03 17:20:02,593,128
19137,2020-09-03 17:20:02,96,11
19114,2020-09-03 17:20:02,524,95
19153,2020-09-03 17:20:02,223,52
19115,2020-09-03 17:20:02,849,134
19104,2020-09-03 17:20:02,574,225
19138,2020-09-03 17:20:02,615,142
19122,2020-09-03 17:20:02,392,93
19149,2020-09-03 17:20:02,1029,165
19123,2020-09-03 17:20:02,326,89
19101,2020-09-03 17:20:02,28,10
19130,2020-09-03 17:20:02,341,88
19143,2020-09-03 17:20:02,1177,326
19125,2020-09-03 17:20:02,271,78
19154,2020-09-03 17:20:02,624,66
19151,2020-09-03 17:20:02,669,149
19106,2020-09-03 17:20:02,104,13
19111,2020-09-03 17:20:02,1265,247
19147,2020-09-03 17:20:02,417,71
19144,2020-09-03 17:20:02,756,261
19126,2020-09-03 17:20:02,462,157
19121,2020-09-03 17:20:02,602,167
19118,2020-09-03 17:20:02,147,49
19133,2020-09-03 17:20:02,486,215
19128,2020-09-03 17:20:02,445,48
19103,2020-09-03 17:20:02,226,60
19127,2020-09-03 17:20:02,54,NA
19145,2020-09-03 17:20:02,802,156
19142,2020-09-03 17:20:02,638,178
19124,2020-09-03 17:20:02,1321,248
19105,2020-09-03 17:20:02,5,NA
19135,2020-09-03 17:20:02,595,79
19116,2020-09-03 17:20:02,713,121
19139,2020-09-03 17:20:02,822,287
19131,2020-09-03 17:20:02,898,293
19136,2020-09-03 17:20:02,1040,150
19120,2020-09-03 17:20:02,1427,288
19141,2020-09-03 17:20:02,551,186
19107,2020-09-03 17:20:02,229,61
19140,2020-09-03 17:20:02,1046,396
19152,2020-09-03 17:20:02,722,170
19134,2020-09-03 17:20:02,902,246
19150,2020-09-03 17:20:02,471,94
19148,2020-09-03 17:20:02,886,200
19102,2020-09-03 17:20:02,66,5
19129,2020-09-03 17:20:02,130,25
