zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-09-28 17:20:02,463,154
19132,2020-09-28 17:20:02,607,236
19146,2020-09-28 17:20:02,622,133
19137,2020-09-28 17:20:02,107,11
19114,2020-09-28 17:20:02,582,96
19153,2020-09-28 17:20:02,230,54
19115,2020-09-28 17:20:02,905,137
19104,2020-09-28 17:20:02,620,232
19138,2020-09-28 17:20:02,653,155
19122,2020-09-28 17:20:02,464,98
19149,2020-09-28 17:20:02,1104,171
19123,2020-09-28 17:20:02,344,87
19101,2020-09-28 17:20:02,28,10
19130,2020-09-28 17:20:02,407,93
19143,2020-09-28 17:20:02,1223,333
19125,2020-09-28 17:20:02,310,77
19154,2020-09-28 17:20:02,682,66
19151,2020-09-28 17:20:02,704,148
19106,2020-09-28 17:20:02,112,14
19111,2020-09-28 17:20:02,1375,251
19147,2020-09-28 17:20:02,448,74
19144,2020-09-28 17:20:02,799,263
19126,2020-09-28 17:20:02,470,165
19121,2020-09-28 17:20:02,722,169
19118,2020-09-28 17:20:02,158,52
19133,2020-09-28 17:20:02,542,222
19128,2020-09-28 17:20:02,476,49
19103,2020-09-28 17:20:02,244,61
19127,2020-09-28 17:20:02,62,NA
19145,2020-09-28 17:20:02,849,161
19142,2020-09-28 17:20:02,669,179
19124,2020-09-28 17:20:02,1410,256
19105,2020-09-28 17:20:02,5,NA
19135,2020-09-28 17:20:02,651,83
19116,2020-09-28 17:20:02,781,123
19139,2020-09-28 17:20:02,850,289
19131,2020-09-28 17:20:02,951,298
19136,2020-09-28 17:20:02,1088,156
19120,2020-09-28 17:20:02,1491,301
19141,2020-09-28 17:20:02,580,194
19107,2020-09-28 17:20:02,240,58
19140,2020-09-28 17:20:02,1119,413
19152,2020-09-28 17:20:02,799,192
19134,2020-09-28 17:20:02,962,259
19150,2020-09-28 17:20:02,487,96
19148,2020-09-28 17:20:02,921,211
19102,2020-09-28 17:20:02,75,5
19129,2020-09-28 17:20:02,141,25
