zip_code,etl_timestamp,NO_UNKNOWN,Yes
19101,2020-08-31 17:20:02,28,10
19102,2020-08-31 17:20:02,66,5
19103,2020-08-31 17:20:02,224,60
19104,2020-08-31 17:20:02,570,224
19105,2020-08-31 17:20:02,5,NA
19106,2020-08-31 17:20:02,103,13
19107,2020-08-31 17:20:02,224,61
19111,2020-08-31 17:20:02,1245,246
19114,2020-08-31 17:20:02,522,94
19115,2020-08-31 17:20:02,841,133
19116,2020-08-31 17:20:02,698,120
19118,2020-08-31 17:20:02,144,48
19119,2020-08-31 17:20:02,444,150
19120,2020-08-31 17:20:02,1419,286
19121,2020-08-31 17:20:02,503,165
19122,2020-08-31 17:20:02,327,93
19123,2020-08-31 17:20:02,324,87
19124,2020-08-31 17:20:02,1298,245
19125,2020-08-31 17:20:02,269,77
19126,2020-08-31 17:20:02,454,157
19127,2020-08-31 17:20:02,50,NA
19128,2020-08-31 17:20:02,437,48
19129,2020-08-31 17:20:02,127,25
19130,2020-08-31 17:20:02,330,88
19131,2020-08-31 17:20:02,887,291
19132,2020-08-31 17:20:02,583,233
19133,2020-08-31 17:20:02,481,211
19134,2020-08-31 17:20:02,884,236
19135,2020-08-31 17:20:02,585,79
19136,2020-08-31 17:20:02,1029,147
19137,2020-08-31 17:20:02,92,11
19138,2020-08-31 17:20:02,609,139
19139,2020-08-31 17:20:02,817,288
19140,2020-08-31 17:20:02,1032,389
19141,2020-08-31 17:20:02,548,186
19142,2020-08-31 17:20:02,627,179
19143,2020-08-31 17:20:02,1175,323
19144,2020-08-31 17:20:02,751,261
19145,2020-08-31 17:20:02,797,151
19146,2020-08-31 17:20:02,589,127
19147,2020-08-31 17:20:02,414,71
19148,2020-08-31 17:20:02,882,197
19149,2020-08-31 17:20:02,1012,164
19150,2020-08-31 17:20:02,464,94
19151,2020-08-31 17:20:02,663,149
19152,2020-08-31 17:20:02,715,165
19153,2020-08-31 17:20:02,224,51
19154,2020-08-31 17:20:02,616,64
