zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-08-24 17:20:02,440,149
19132,2020-08-24 17:20:02,577,233
19146,2020-08-24 17:20:02,582,126
19137,2020-08-24 17:20:02,89,10
19114,2020-08-24 17:20:02,517,90
19153,2020-08-24 17:20:02,224,51
19115,2020-08-24 17:20:02,823,132
19104,2020-08-24 17:20:02,561,223
19138,2020-08-24 17:20:02,599,136
19122,2020-08-24 17:20:02,309,93
19149,2020-08-24 17:20:02,978,159
19123,2020-08-24 17:20:02,321,87
19101,2020-08-24 17:20:02,23,10
19130,2020-08-24 17:20:02,317,89
19143,2020-08-24 17:20:02,1158,320
19125,2020-08-24 17:20:02,261,77
19154,2020-08-24 17:20:02,606,58
19151,2020-08-24 17:20:02,648,149
19106,2020-08-24 17:20:02,100,13
19111,2020-08-24 17:20:02,1195,244
19147,2020-08-24 17:20:02,409,70
19144,2020-08-24 17:20:02,747,258
19126,2020-08-24 17:20:02,446,156
19121,2020-08-24 17:20:02,474,164
19118,2020-08-24 17:20:02,140,48
19133,2020-08-24 17:20:02,452,209
19128,2020-08-24 17:20:02,420,46
19103,2020-08-24 17:20:02,219,59
19127,2020-08-24 17:20:02,47,NA
19145,2020-08-24 17:20:02,768,151
19142,2020-08-24 17:20:02,623,176
19124,2020-08-24 17:20:02,1256,243
19105,2020-08-24 17:20:02,5,NA
19135,2020-08-24 17:20:02,566,78
19116,2020-08-24 17:20:02,676,120
19139,2020-08-24 17:20:02,808,287
19131,2020-08-24 17:20:02,874,290
19136,2020-08-24 17:20:02,1010,145
19120,2020-08-24 17:20:02,1380,280
19141,2020-08-24 17:20:02,540,185
19107,2020-08-24 17:20:02,223,60
19140,2020-08-24 17:20:02,978,383
19152,2020-08-24 17:20:02,697,163
19134,2020-08-24 17:20:02,869,231
19150,2020-08-24 17:20:02,460,91
19148,2020-08-24 17:20:02,869,196
19102,2020-08-24 17:20:02,65,5
19129,2020-08-24 17:20:02,126,24
