zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-09-05 17:20:02,248,1330
19105,2020-09-05 17:20:02,NA,5
19135,2020-09-05 17:20:02,79,597
19116,2020-09-05 17:20:02,121,714
19111,2020-09-05 17:20:02,247,1270
19139,2020-09-05 17:20:02,287,824
19131,2020-09-05 17:20:02,293,903
19136,2020-09-05 17:20:02,150,1042
19120,2020-09-05 17:20:02,288,1432
19125,2020-09-05 17:20:02,77,273
19121,2020-09-05 17:20:02,167,613
19141,2020-09-05 17:20:02,187,553
19107,2020-09-05 17:20:02,61,230
19138,2020-09-05 17:20:02,142,616
19154,2020-09-05 17:20:02,66,625
19145,2020-09-05 17:20:02,156,807
19140,2020-09-05 17:20:02,396,1051
19152,2020-09-05 17:20:02,176,722
19149,2020-09-05 17:20:02,166,1029
19134,2020-09-05 17:20:02,247,905
19147,2020-09-05 17:20:02,71,418
19150,2020-09-05 17:20:02,94,472
19148,2020-09-05 17:20:02,200,888
19123,2020-09-05 17:20:02,89,326
19126,2020-09-05 17:20:02,157,462
19102,2020-09-05 17:20:02,5,66
19129,2020-09-05 17:20:02,25,133
19115,2020-09-05 17:20:02,135,851
19118,2020-09-05 17:20:02,49,148
19133,2020-09-05 17:20:02,215,491
19106,2020-09-05 17:20:02,13,104
19128,2020-09-05 17:20:02,48,447
19103,2020-09-05 17:20:02,60,226
19130,2020-09-05 17:20:02,88,342
19151,2020-09-05 17:20:02,149,673
19142,2020-09-05 17:20:02,178,640
19104,2020-09-05 17:20:02,225,577
19144,2020-09-05 17:20:02,260,758
19119,2020-09-05 17:20:02,151,447
19132,2020-09-05 17:20:02,233,593
19153,2020-09-05 17:20:02,52,223
19101,2020-09-05 17:20:02,10,28
19146,2020-09-05 17:20:02,128,594
19137,2020-09-05 17:20:02,11,96
19114,2020-09-05 17:20:02,95,529
19122,2020-09-05 17:20:02,94,413
19143,2020-09-05 17:20:02,326,1179
19127,2020-09-05 17:20:02,NA,55
