zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-09-08 17:20:02,452,151
19132,2020-09-08 17:20:02,595,233
19146,2020-09-08 17:20:02,599,128
19137,2020-09-08 17:20:02,99,11
19114,2020-09-08 17:20:02,536,95
19153,2020-09-08 17:20:02,223,53
19115,2020-09-08 17:20:02,854,135
19104,2020-09-08 17:20:02,582,225
19138,2020-09-08 17:20:02,623,142
19122,2020-09-08 17:20:02,419,95
19149,2020-09-08 17:20:02,1046,166
19123,2020-09-08 17:20:02,327,89
19101,2020-09-08 17:20:02,29,10
19130,2020-09-08 17:20:02,368,88
19143,2020-09-08 17:20:02,1183,326
19125,2020-09-08 17:20:02,289,77
19154,2020-09-08 17:20:02,633,66
19151,2020-09-08 17:20:02,677,149
19106,2020-09-08 17:20:02,107,13
19111,2020-09-08 17:20:02,1290,247
19147,2020-09-08 17:20:02,420,71
19144,2020-09-08 17:20:02,761,260
19126,2020-09-08 17:20:02,465,156
19121,2020-09-08 17:20:02,611,167
19118,2020-09-08 17:20:02,150,49
19133,2020-09-08 17:20:02,498,215
19128,2020-09-08 17:20:02,456,48
19103,2020-09-08 17:20:02,226,60
19127,2020-09-08 17:20:02,55,NA
19145,2020-09-08 17:20:02,813,157
19142,2020-09-08 17:20:02,647,178
19124,2020-09-08 17:20:02,1339,248
19105,2020-09-08 17:20:02,5,NA
19135,2020-09-08 17:20:02,606,79
19116,2020-09-08 17:20:02,721,121
19139,2020-09-08 17:20:02,828,287
19131,2020-09-08 17:20:02,909,293
19136,2020-09-08 17:20:02,1053,151
19120,2020-09-08 17:20:02,1441,289
19141,2020-09-08 17:20:02,558,187
19107,2020-09-08 17:20:02,230,62
19140,2020-09-08 17:20:02,1068,397
19152,2020-09-08 17:20:02,732,177
19134,2020-09-08 17:20:02,913,248
19150,2020-09-08 17:20:02,476,94
19148,2020-09-08 17:20:02,895,201
19102,2020-09-08 17:20:02,68,5
19129,2020-09-08 17:20:02,133,25
