zip_code,etl_timestamp,NO_UNKNOWN,Yes
19101,2020-08-30 17:20:02,28,10
19102,2020-08-30 17:20:02,66,5
19103,2020-08-30 17:20:02,222,60
19104,2020-08-30 17:20:02,568,224
19105,2020-08-30 17:20:02,5,NA
19106,2020-08-30 17:20:02,102,13
19107,2020-08-30 17:20:02,222,61
19111,2020-08-30 17:20:02,1234,246
19114,2020-08-30 17:20:02,520,94
19115,2020-08-30 17:20:02,834,133
19116,2020-08-30 17:20:02,695,120
19118,2020-08-30 17:20:02,142,48
19119,2020-08-30 17:20:02,444,150
19120,2020-08-30 17:20:02,1410,285
19121,2020-08-30 17:20:02,488,165
19122,2020-08-30 17:20:02,323,93
19123,2020-08-30 17:20:02,324,87
19124,2020-08-30 17:20:02,1289,245
19125,2020-08-30 17:20:02,267,77
19126,2020-08-30 17:20:02,451,157
19127,2020-08-30 17:20:02,50,NA
19128,2020-08-30 17:20:02,434,48
19129,2020-08-30 17:20:02,126,25
19130,2020-08-30 17:20:02,329,88
19131,2020-08-30 17:20:02,882,291
19132,2020-08-30 17:20:02,581,233
19133,2020-08-30 17:20:02,475,211
19134,2020-08-30 17:20:02,883,236
19135,2020-08-30 17:20:02,581,79
19136,2020-08-30 17:20:02,1020,147
19137,2020-08-30 17:20:02,92,11
19138,2020-08-30 17:20:02,605,139
19139,2020-08-30 17:20:02,815,288
19140,2020-08-30 17:20:02,1017,388
19141,2020-08-30 17:20:02,547,186
19142,2020-08-30 17:20:02,624,179
19143,2020-08-30 17:20:02,1175,323
19144,2020-08-30 17:20:02,751,261
19145,2020-08-30 17:20:02,789,151
19146,2020-08-30 17:20:02,589,127
19147,2020-08-30 17:20:02,411,71
19148,2020-08-30 17:20:02,879,197
19149,2020-08-30 17:20:02,1001,164
19150,2020-08-30 17:20:02,462,94
19151,2020-08-30 17:20:02,659,149
19152,2020-08-30 17:20:02,711,165
19153,2020-08-30 17:20:02,224,51
19154,2020-08-30 17:20:02,613,64
