zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-08-21 17:20:03,438,149
19132,2020-08-21 17:20:03,575,232
19146,2020-08-21 17:20:03,578,126
19137,2020-08-21 17:20:03,89,10
19114,2020-08-21 17:20:03,510,90
19153,2020-08-21 17:20:03,221,51
19115,2020-08-21 17:20:03,813,132
19104,2020-08-21 17:20:03,559,222
19138,2020-08-21 17:20:03,594,136
19122,2020-08-21 17:20:03,308,93
19149,2020-08-21 17:20:03,964,159
19123,2020-08-21 17:20:03,321,86
19101,2020-08-21 17:20:03,23,10
19130,2020-08-21 17:20:03,313,88
19143,2020-08-21 17:20:03,1149,320
19125,2020-08-21 17:20:03,257,77
19154,2020-08-21 17:20:03,600,58
19151,2020-08-21 17:20:03,643,149
19106,2020-08-21 17:20:03,99,13
19111,2020-08-21 17:20:03,1184,244
19147,2020-08-21 17:20:03,405,70
19144,2020-08-21 17:20:03,744,258
19126,2020-08-21 17:20:03,446,156
19121,2020-08-21 17:20:03,470,164
19118,2020-08-21 17:20:03,140,48
19133,2020-08-21 17:20:03,444,209
19128,2020-08-21 17:20:03,415,46
19103,2020-08-21 17:20:03,214,59
19127,2020-08-21 17:20:03,47,NA
19145,2020-08-21 17:20:03,761,151
19142,2020-08-21 17:20:03,617,176
19124,2020-08-21 17:20:03,1245,243
19105,2020-08-21 17:20:03,5,NA
19135,2020-08-21 17:20:03,554,78
19116,2020-08-21 17:20:03,664,120
19139,2020-08-21 17:20:03,803,287
19131,2020-08-21 17:20:03,868,289
19136,2020-08-21 17:20:03,1005,145
19120,2020-08-21 17:20:03,1365,280
19141,2020-08-21 17:20:03,536,185
19107,2020-08-21 17:20:03,223,60
19140,2020-08-21 17:20:03,965,381
19152,2020-08-21 17:20:03,685,163
19134,2020-08-21 17:20:03,848,231
19150,2020-08-21 17:20:03,458,91
19148,2020-08-21 17:20:03,865,196
19102,2020-08-21 17:20:03,64,5
19129,2020-08-21 17:20:03,124,25
