zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-09-02 17:20:02,445,151
19132,2020-09-02 17:20:02,589,233
19146,2020-09-02 17:20:02,590,128
19137,2020-09-02 17:20:02,96,11
19114,2020-09-02 17:20:02,523,95
19153,2020-09-02 17:20:02,223,52
19115,2020-09-02 17:20:02,845,134
19104,2020-09-02 17:20:02,572,225
19138,2020-09-02 17:20:02,613,142
19122,2020-09-02 17:20:02,349,93
19149,2020-09-02 17:20:02,1021,165
19123,2020-09-02 17:20:02,327,87
19101,2020-09-02 17:20:02,28,10
19130,2020-09-02 17:20:02,339,88
19143,2020-09-02 17:20:02,1175,326
19125,2020-09-02 17:20:02,269,78
19154,2020-09-02 17:20:02,626,65
19151,2020-09-02 17:20:02,665,149
19106,2020-09-02 17:20:02,103,13
19111,2020-09-02 17:20:02,1255,247
19147,2020-09-02 17:20:02,416,71
19144,2020-09-02 17:20:02,755,261
19126,2020-09-02 17:20:02,460,157
19121,2020-09-02 17:20:02,595,165
19118,2020-09-02 17:20:02,145,49
19133,2020-09-02 17:20:02,484,215
19128,2020-09-02 17:20:02,443,48
19103,2020-09-02 17:20:02,226,60
19127,2020-09-02 17:20:02,53,NA
19145,2020-09-02 17:20:02,797,156
19142,2020-09-02 17:20:02,634,178
19124,2020-09-02 17:20:02,1314,248
19105,2020-09-02 17:20:02,5,NA
19135,2020-09-02 17:20:02,592,79
19116,2020-09-02 17:20:02,705,121
19139,2020-09-02 17:20:02,821,287
19131,2020-09-02 17:20:02,895,293
19136,2020-09-02 17:20:02,1036,150
19120,2020-09-02 17:20:02,1425,288
19141,2020-09-02 17:20:02,549,186
19107,2020-09-02 17:20:02,227,61
19140,2020-09-02 17:20:02,1044,395
19152,2020-09-02 17:20:02,718,170
19134,2020-09-02 17:20:02,894,243
19150,2020-09-02 17:20:02,471,94
19148,2020-09-02 17:20:02,888,197
19102,2020-09-02 17:20:02,66,5
19129,2020-09-02 17:20:02,130,25
