zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-08-25 17:20:01,243,1262
19105,2020-08-25 17:20:01,NA,5
19135,2020-08-25 17:20:01,78,570
19116,2020-08-25 17:20:01,120,680
19111,2020-08-25 17:20:01,244,1203
19139,2020-08-25 17:20:01,287,812
19131,2020-08-25 17:20:01,290,876
19136,2020-08-25 17:20:01,145,1011
19120,2020-08-25 17:20:01,280,1387
19125,2020-08-25 17:20:01,77,262
19121,2020-08-25 17:20:01,163,475
19141,2020-08-25 17:20:01,185,542
19107,2020-08-25 17:20:01,61,221
19138,2020-08-25 17:20:01,137,599
19154,2020-08-25 17:20:01,58,606
19145,2020-08-25 17:20:01,151,773
19140,2020-08-25 17:20:01,382,979
19152,2020-08-25 17:20:01,163,698
19149,2020-08-25 17:20:01,159,984
19134,2020-08-25 17:20:01,231,874
19147,2020-08-25 17:20:01,71,409
19150,2020-08-25 17:20:01,92,459
19148,2020-08-25 17:20:01,197,869
19123,2020-08-25 17:20:01,87,321
19126,2020-08-25 17:20:01,156,446
19102,2020-08-25 17:20:01,5,65
19129,2020-08-25 17:20:01,24,127
19115,2020-08-25 17:20:01,132,825
19118,2020-08-25 17:20:01,48,140
19133,2020-08-25 17:20:01,209,456
19106,2020-08-25 17:20:01,13,100
19128,2020-08-25 17:20:01,46,422
19103,2020-08-25 17:20:01,60,219
19130,2020-08-25 17:20:01,89,317
19151,2020-08-25 17:20:01,149,650
19142,2020-08-25 17:20:01,176,624
19104,2020-08-25 17:20:01,223,563
19144,2020-08-25 17:20:01,261,744
19119,2020-08-25 17:20:01,150,440
19132,2020-08-25 17:20:01,233,578
19153,2020-08-25 17:20:01,51,224
19101,2020-08-25 17:20:01,10,27
19146,2020-08-25 17:20:01,127,581
19137,2020-08-25 17:20:01,10,90
19114,2020-08-25 17:20:01,90,518
19122,2020-08-25 17:20:01,93,310
19143,2020-08-25 17:20:01,320,1161
19127,2020-08-25 17:20:01,NA,47
