zip_code,etl_timestamp,Yes,NO_UNKNOWN
19124,2020-08-29 17:20:02,245,1289
19105,2020-08-29 17:20:02,NA,5
19135,2020-08-29 17:20:02,79,581
19116,2020-08-29 17:20:02,120,695
19111,2020-08-29 17:20:02,246,1234
19139,2020-08-29 17:20:02,288,815
19131,2020-08-29 17:20:02,291,882
19136,2020-08-29 17:20:02,147,1020
19120,2020-08-29 17:20:02,285,1410
19125,2020-08-29 17:20:02,77,267
19121,2020-08-29 17:20:02,165,488
19141,2020-08-29 17:20:02,186,547
19107,2020-08-29 17:20:02,61,222
19138,2020-08-29 17:20:02,139,605
19154,2020-08-29 17:20:02,64,613
19145,2020-08-29 17:20:02,151,789
19140,2020-08-29 17:20:02,388,1017
19152,2020-08-29 17:20:02,165,711
19149,2020-08-29 17:20:02,164,1001
19134,2020-08-29 17:20:02,236,883
19147,2020-08-29 17:20:02,71,411
19150,2020-08-29 17:20:02,94,462
19148,2020-08-29 17:20:02,197,879
19123,2020-08-29 17:20:02,87,324
19126,2020-08-29 17:20:02,157,451
19102,2020-08-29 17:20:02,5,66
19129,2020-08-29 17:20:02,25,126
19115,2020-08-29 17:20:02,133,834
19118,2020-08-29 17:20:02,48,142
19133,2020-08-29 17:20:02,211,475
19106,2020-08-29 17:20:02,13,102
19128,2020-08-29 17:20:02,48,434
19103,2020-08-29 17:20:02,60,222
19130,2020-08-29 17:20:02,88,329
19151,2020-08-29 17:20:02,149,659
19142,2020-08-29 17:20:02,179,624
19104,2020-08-29 17:20:02,224,568
19144,2020-08-29 17:20:02,261,751
19119,2020-08-29 17:20:02,150,444
19132,2020-08-29 17:20:02,233,581
19153,2020-08-29 17:20:02,51,224
19101,2020-08-29 17:20:02,10,28
19146,2020-08-29 17:20:02,127,589
19137,2020-08-29 17:20:02,11,92
19114,2020-08-29 17:20:02,94,520
19122,2020-08-29 17:20:02,93,323
19143,2020-08-29 17:20:02,323,1175
19127,2020-08-29 17:20:02,NA,50
