zip_code,etl_timestamp,NO_UNKNOWN,Yes
19119,2020-08-18 17:20:02,434,149
19132,2020-08-18 17:20:02,572,231
19146,2020-08-18 17:20:02,576,125
19137,2020-08-18 17:20:02,88,10
19114,2020-08-18 17:20:02,504,89
19153,2020-08-18 17:20:02,217,51
19115,2020-08-18 17:20:02,801,131
19104,2020-08-18 17:20:02,557,220
19138,2020-08-18 17:20:02,589,136
19122,2020-08-18 17:20:02,304,93
19149,2020-08-18 17:20:02,954,160
19123,2020-08-18 17:20:02,321,85
19101,2020-08-18 17:20:02,23,10
19130,2020-08-18 17:20:02,309,89
19143,2020-08-18 17:20:02,1137,316
19125,2020-08-18 17:20:02,253,77
19154,2020-08-18 17:20:02,593,58
19151,2020-08-18 17:20:02,638,146
19106,2020-08-18 17:20:02,99,13
19111,2020-08-18 17:20:02,1167,244
19147,2020-08-18 17:20:02,400,70
19144,2020-08-18 17:20:02,736,257
19126,2020-08-18 17:20:02,445,156
19121,2020-08-18 17:20:02,471,163
19118,2020-08-18 17:20:02,139,48
19133,2020-08-18 17:20:02,429,209
19128,2020-08-18 17:20:02,401,47
19103,2020-08-18 17:20:02,214,58
19127,2020-08-18 17:20:02,47,NA
19145,2020-08-18 17:20:02,745,150
19142,2020-08-18 17:20:02,609,175
19124,2020-08-18 17:20:02,1217,242
19105,2020-08-18 17:20:02,5,NA
19135,2020-08-18 17:20:02,541,78
19116,2020-08-18 17:20:02,653,120
19139,2020-08-18 17:20:02,802,284
19131,2020-08-18 17:20:02,855,289
19136,2020-08-18 17:20:02,998,145
19120,2020-08-18 17:20:02,1342,279
19141,2020-08-18 17:20:02,523,186
19107,2020-08-18 17:20:02,220,60
19140,2020-08-18 17:20:02,950,380
19152,2020-08-18 17:20:02,675,163
19134,2020-08-18 17:20:02,829,231
19150,2020-08-18 17:20:02,458,91
19148,2020-08-18 17:20:02,854,196
19102,2020-08-18 17:20:02,64,5
19129,2020-08-18 17:20:02,122,25
