racial_identity,count,etl_timestamp
White,5125,2020-08-19 17:20:02
NA,6965,2020-08-19 17:20:02
OTHER,1155,2020-08-19 17:20:02
African,8,2020-08-19 17:20:02
Pacific Islander,15,2020-08-19 17:20:02
Native American,30,2020-08-19 17:20:02
UNKNOWN,271,2020-08-19 17:20:02
Asian,1071,2020-08-19 17:20:02
HISPANIC,3711,2020-08-19 17:20:02
African American,14218,2020-08-19 17:20:02
