racial_identity,count,etl_timestamp
White,5476,2020-08-22 17:20:01
NA,6061,2020-08-22 17:20:01
OTHER,1183,2020-08-22 17:20:01
African,8,2020-08-22 17:20:01
Pacific Islander,15,2020-08-22 17:20:01
Native American,30,2020-08-22 17:20:01
UNKNOWN,258,2020-08-22 17:20:01
Asian,1122,2020-08-22 17:20:01
HISPANIC,4103,2020-08-22 17:20:01
African American,14680,2020-08-22 17:20:01
