racial_identity,count,etl_timestamp
White,6145,2020-09-10 17:20:02
NA,5782,2020-09-10 17:20:02
OTHER,1301,2020-09-10 17:20:02
African,8,2020-09-10 17:20:02
Pacific Islander,16,2020-09-10 17:20:02
Native American,30,2020-09-10 17:20:02
UNKNOWN,271,2020-09-10 17:20:02
Asian,1183,2020-09-10 17:20:02
HISPANIC,4778,2020-09-10 17:20:02
African American,15373,2020-09-10 17:20:02
