racial_identity,count,etl_timestamp
White,6180,2020-09-12 17:20:02
NA,5902,2020-09-12 17:20:02
OTHER,1309,2020-09-12 17:20:02
African,8,2020-09-12 17:20:02
Pacific Islander,16,2020-09-12 17:20:02
Native American,30,2020-09-12 17:20:02
UNKNOWN,277,2020-09-12 17:20:02
Asian,1184,2020-09-12 17:20:02
HISPANIC,4788,2020-09-12 17:20:02
African American,15400,2020-09-12 17:20:02
