date,etl_timestamp,NO_UNKNOWN,Yes
2020-08-11,2020-08-14 17:20:02,154,NA
2020-06-03,2020-08-14 17:20:02,114,34
2020-05-27,2020-08-14 17:20:02,145,44
2020-05-07,2020-08-14 17:20:02,250,59
2020-05-23,2020-08-14 17:20:02,157,33
2020-07-12,2020-08-14 17:20:02,72,15
2020-07-29,2020-08-14 17:20:02,134,18
2020-03-24,2020-08-14 17:20:02,79,38
2020-05-18,2020-08-14 17:20:02,152,29
2020-06-14,2020-08-14 17:20:02,44,16
2020-05-13,2020-08-14 17:20:02,189,53
2020-07-23,2020-08-14 17:20:02,206,14
2020-05-12,2020-08-14 17:20:02,199,48
2020-07-14,2020-08-14 17:20:02,128,16
2020-05-09,2020-08-14 17:20:02,185,40
2020-04-28,2020-08-14 17:20:02,372,99
2020-08-02,2020-08-14 17:20:02,72,11
2020-04-23,2020-08-14 17:20:02,419,150
2020-04-15,2020-08-14 17:20:02,443,160
2020-06-01,2020-08-14 17:20:02,74,27
2020-05-04,2020-08-14 17:20:02,291,81
2020-06-16,2020-08-14 17:20:02,74,13
2020-06-19,2020-08-14 17:20:02,108,13
2020-07-10,2020-08-14 17:20:02,95,15
2020-03-31,2020-08-14 17:20:02,275,88
2020-07-13,2020-08-14 17:20:02,115,21
2020-06-08,2020-08-14 17:20:02,88,21
2020-07-20,2020-08-14 17:20:02,108,16
2020-05-28,2020-08-14 17:20:02,174,33
2020-08-08,2020-08-14 17:20:02,85,NA
2020-08-13,2020-08-14 17:20:02,61,NA
2020-04-09,2020-08-14 17:20:02,439,141
2020-04-14,2020-08-14 17:20:02,256,122
2020-08-01,2020-08-14 17:20:02,50,15
2020-07-03,2020-08-14 17:20:02,117,11
2020-05-21,2020-08-14 17:20:02,279,37
2020-05-24,2020-08-14 17:20:02,147,26
2020-06-24,2020-08-14 17:20:02,114,17
2020-03-14,2020-08-14 17:20:02,5,NA
2020-05-29,2020-08-14 17:20:02,175,27
2020-04-03,2020-08-14 17:20:02,381,131
2020-03-28,2020-08-14 17:20:02,106,40
2020-05-11,2020-08-14 17:20:02,188,57
2020-07-24,2020-08-14 17:20:02,192,19
2020-05-05,2020-08-14 17:20:02,278,87
2020-07-05,2020-08-14 17:20:02,69,11
2020-04-18,2020-08-14 17:20:02,197,78
2020-05-22,2020-08-14 17:20:02,168,33
2020-05-16,2020-08-14 17:20:02,143,21
2020-06-20,2020-08-14 17:20:02,105,19
2020-04-07,2020-08-14 17:20:02,373,139
2020-03-27,2020-08-14 17:20:02,172,51
2020-07-17,2020-08-14 17:20:02,176,22
2020-05-15,2020-08-14 17:20:02,213,48
2020-07-01,2020-08-14 17:20:02,139,20
2020-08-06,2020-08-14 17:20:02,152,8
2020-07-30,2020-08-14 17:20:02,131,5
2020-07-08,2020-08-14 17:20:02,108,13
2020-06-27,2020-08-14 17:20:02,94,15
2020-03-26,2020-08-14 17:20:02,128,67
2020-07-09,2020-08-14 17:20:02,101,12
2020-06-17,2020-08-14 17:20:02,126,19
2020-06-28,2020-08-14 17:20:02,77,14
2020-04-13,2020-08-14 17:20:02,145,109
2020-04-30,2020-08-14 17:20:02,333,98
2020-04-25,2020-08-14 17:20:02,225,102
2020-06-29,2020-08-14 17:20:02,114,13
2020-03-17,2020-08-14 17:20:02,13,NA
2020-08-05,2020-08-14 17:20:02,123,7
2020-04-26,2020-08-14 17:20:02,114,93
2020-03-22,2020-08-14 17:20:02,38,12
2020-03-29,2020-08-14 17:20:02,162,53
2020-06-21,2020-08-14 17:20:02,53,12
2020-03-25,2020-08-14 17:20:02,130,40
2020-06-05,2020-08-14 17:20:02,97,20
2020-06-10,2020-08-14 17:20:02,90,21
2020-04-19,2020-08-14 17:20:02,170,91
2020-03-18,2020-08-14 17:20:02,7,NA
2020-07-27,2020-08-14 17:20:02,134,27
2020-05-08,2020-08-14 17:20:02,290,64
2020-07-06,2020-08-14 17:20:02,95,19
2020-04-12,2020-08-14 17:20:02,299,117
2020-05-19,2020-08-14 17:20:02,211,47
2020-07-16,2020-08-14 17:20:02,132,14
2020-07-25,2020-08-14 17:20:02,134,8
2020-07-22,2020-08-14 17:20:02,192,9
2020-06-30,2020-08-14 17:20:02,115,13
2020-06-15,2020-08-14 17:20:02,74,21
2020-05-03,2020-08-14 17:20:02,119,49
2020-03-23,2020-08-14 17:20:02,54,18
2020-06-25,2020-08-14 17:20:02,109,13
2020-04-24,2020-08-14 17:20:02,384,106
2020-04-02,2020-08-14 17:20:02,243,119
