date,etl_timestamp,Yes,NO_UNKNOWN
2020-03-26,2020-08-20 17:20:02,67,128
2020-07-09,2020-08-20 17:20:02,12,102
2020-06-17,2020-08-20 17:20:02,19,126
2020-04-03,2020-08-20 17:20:02,130,381
2020-06-28,2020-08-20 17:20:02,14,77
2020-04-13,2020-08-20 17:20:02,109,145
2020-06-08,2020-08-20 17:20:02,21,88
2020-04-30,2020-08-20 17:20:02,97,334
2020-04-25,2020-08-20 17:20:02,102,225
2020-06-29,2020-08-20 17:20:02,14,114
2020-03-28,2020-08-20 17:20:02,40,106
2020-04-23,2020-08-20 17:20:02,150,419
2020-03-31,2020-08-20 17:20:02,87,276
2020-03-17,2020-08-20 17:20:02,NA,13
2020-08-05,2020-08-20 17:20:02,8,123
2020-04-26,2020-08-20 17:20:02,93,114
2020-03-22,2020-08-20 17:20:02,13,38
2020-03-29,2020-08-20 17:20:02,53,162
2020-06-21,2020-08-20 17:20:02,12,53
2020-03-25,2020-08-20 17:20:02,40,129
2020-06-05,2020-08-20 17:20:02,20,97
2020-06-10,2020-08-20 17:20:02,21,90
2020-08-16,2020-08-20 17:20:02,NA,90
2020-05-21,2020-08-20 17:20:02,37,278
2020-04-19,2020-08-20 17:20:02,91,170
2020-07-03,2020-08-20 17:20:02,11,117
2020-03-18,2020-08-20 17:20:02,NA,7
2020-05-27,2020-08-20 17:20:02,44,145
2020-05-13,2020-08-20 17:20:02,52,189
2020-07-27,2020-08-20 17:20:02,27,135
2020-04-09,2020-08-20 17:20:02,141,439
2020-05-08,2020-08-20 17:20:02,64,290
2020-08-01,2020-08-20 17:20:02,15,50
2020-07-06,2020-08-20 17:20:02,19,95
2020-04-12,2020-08-20 17:20:02,117,299
2020-05-19,2020-08-20 17:20:02,47,211
2020-07-16,2020-08-20 17:20:02,14,132
2020-07-30,2020-08-20 17:20:02,5,131
2020-06-27,2020-08-20 17:20:02,15,94
2020-08-17,2020-08-20 17:20:02,NA,82
2020-07-25,2020-08-20 17:20:02,8,133
2020-08-08,2020-08-20 17:20:02,5,83
2020-07-22,2020-08-20 17:20:02,9,193
2020-06-30,2020-08-20 17:20:02,13,115
2020-08-11,2020-08-20 17:20:02,NA,158
2020-06-03,2020-08-20 17:20:02,34,114
2020-08-14,2020-08-20 17:20:02,NA,120
2020-05-07,2020-08-20 17:20:02,59,250
2020-05-23,2020-08-20 17:20:02,33,157
2020-07-12,2020-08-20 17:20:02,15,72
2020-07-29,2020-08-20 17:20:02,19,134
2020-03-24,2020-08-20 17:20:02,38,79
2020-05-18,2020-08-20 17:20:02,29,152
2020-06-14,2020-08-20 17:20:02,16,44
2020-07-23,2020-08-20 17:20:02,14,207
2020-05-12,2020-08-20 17:20:02,49,199
2020-07-14,2020-08-20 17:20:02,16,128
2020-05-09,2020-08-20 17:20:02,40,185
2020-04-28,2020-08-20 17:20:02,99,371
2020-08-02,2020-08-20 17:20:02,11,73
2020-04-15,2020-08-20 17:20:02,160,444
2020-06-01,2020-08-20 17:20:02,27,74
2020-05-04,2020-08-20 17:20:02,81,291
2020-06-16,2020-08-20 17:20:02,13,74
2020-06-19,2020-08-20 17:20:02,13,108
2020-07-10,2020-08-20 17:20:02,15,95
2020-07-13,2020-08-20 17:20:02,21,115
2020-07-20,2020-08-20 17:20:02,16,108
2020-05-28,2020-08-20 17:20:02,33,174
2020-08-13,2020-08-20 17:20:02,NA,92
2020-04-14,2020-08-20 17:20:02,121,257
2020-05-24,2020-08-20 17:20:02,26,147
2020-06-24,2020-08-20 17:20:02,16,114
2020-03-14,2020-08-20 17:20:02,NA,5
2020-05-29,2020-08-20 17:20:02,27,175
2020-05-11,2020-08-20 17:20:02,57,188
2020-07-24,2020-08-20 17:20:02,19,192
2020-05-05,2020-08-20 17:20:02,87,278
2020-08-15,2020-08-20 17:20:02,NA,94
2020-07-05,2020-08-20 17:20:02,11,69
2020-04-18,2020-08-20 17:20:02,78,197
2020-05-22,2020-08-20 17:20:02,33,169
2020-05-16,2020-08-20 17:20:02,21,143
2020-06-20,2020-08-20 17:20:02,19,105
2020-04-07,2020-08-20 17:20:02,139,373
2020-03-27,2020-08-20 17:20:02,51,172
2020-07-17,2020-08-20 17:20:02,22,175
2020-05-15,2020-08-20 17:20:02,48,213
2020-07-01,2020-08-20 17:20:02,20,139
2020-08-06,2020-08-20 17:20:02,13,148
2020-07-08,2020-08-20 17:20:02,13,108
2020-06-15,2020-08-20 17:20:02,21,74
2020-05-03,2020-08-20 17:20:02,49,119
2020-03-23,2020-08-20 17:20:02,17,53
2020-06-25,2020-08-20 17:20:02,13,109
2020-04-24,2020-08-20 17:20:02,106,384
2020-04-02,2020-08-20 17:20:02,119,243
2020-04-20,2020-08-20 17:20:02,129,361
2020-06-18,2020-08-20 17:20:02,9,89
2020-04-27,2020-08-20 17:20:02,109,318
2020-05-25,2020-08-20 17:20:02,29,100
2020-07-15,2020-08-20 17:20:02,9,150
2020-04-10,2020-08-20 17:20:02,126,451
2020-07-26,2020-08-20 17:20:02,12,80
2020-06-11,2020-08-20 17:20:02,18,84
2020-03-20,2020-08-20 17:20:02,8,24
2020-03-19,2020-08-20 17:20:02,5,27
2020-04-11,2020-08-20 17:20:02,122,294
2020-05-10,2020-08-20 17:20:02,25,96
2020-04-16,2020-08-20 17:20:02,144,382
2020-06-06,2020-08-20 17:20:02,22,60
2020-07-31,2020-08-20 17:20:02,17,127
2020-06-26,2020-08-20 17:20:02,15,72
2020-07-07,2020-08-20 17:20:02,15,124
2020-07-04,2020-08-20 17:20:02,12,57
2020-06-09,2020-08-20 17:20:02,22,119
2020-05-17,2020-08-20 17:20:02,33,109
NA,2020-08-20 17:20:02,35,192
2020-04-06,2020-08-20 17:20:02,135,417
2020-06-12,2020-08-20 17:20:02,25,79
2020-04-17,2020-08-20 17:20:02,130,469
2020-04-08,2020-08-20 17:20:02,138,438
2020-06-23,2020-08-20 17:20:02,20,134
2020-05-06,2020-08-20 17:20:02,60,299
2020-04-21,2020-08-20 17:20:02,111,394
2020-07-21,2020-08-20 17:20:02,13,143
2020-03-30,2020-08-20 17:20:02,72,168
2020-05-02,2020-08-20 17:20:02,72,232
2020-05-31,2020-08-20 17:20:02,30,81
2020-07-19,2020-08-20 17:20:02,8,97
2020-08-03,2020-08-20 17:20:02,8,79
2020-06-07,2020-08-20 17:20:02,19,70
2020-05-14,2020-08-20 17:20:02,44,220
2020-07-18,2020-08-20 17:20:02,15,95
2020-08-09,2020-08-20 17:20:02,9,101
2020-08-04,2020-08-20 17:20:02,9,94
2020-04-22,2020-08-20 17:20:02,112,419
2020-04-29,2020-08-20 17:20:02,102,420
2020-06-13,2020-08-20 17:20:02,18,79
2020-05-01,2020-08-20 17:20:02,105,310
2020-07-02,2020-08-20 17:20:02,17,103
