date,etl_timestamp,Yes,NO_UNKNOWN
2020-04-13,2020-09-25 17:20:02,108,146
2020-06-25,2020-09-25 17:20:02,14,110
2020-05-09,2020-09-25 17:20:02,40,185
2020-04-14,2020-09-25 17:20:02,118,262
2020-05-03,2020-09-25 17:20:02,50,119
2020-04-04,2020-09-25 17:20:02,117,436
2020-08-26,2020-09-25 17:20:02,8,116
2020-07-05,2020-09-25 17:20:02,12,68
2020-07-01,2020-09-25 17:20:02,20,139
2020-04-18,2020-09-25 17:20:02,78,197
2020-06-21,2020-09-25 17:20:02,13,53
2020-08-18,2020-09-25 17:20:02,10,114
2020-07-22,2020-09-25 17:20:02,10,194
2020-07-15,2020-09-25 17:20:02,9,150
2020-03-25,2020-09-25 17:20:02,40,130
2020-09-16,2020-09-25 17:20:02,NA,84
2020-04-03,2020-09-25 17:20:02,131,381
2020-06-08,2020-09-25 17:20:02,21,90
2020-04-30,2020-09-25 17:20:02,97,338
2020-09-12,2020-09-25 17:20:02,NA,78
2020-03-28,2020-09-25 17:20:02,41,105
2020-04-23,2020-09-25 17:20:02,152,425
2020-03-31,2020-09-25 17:20:02,88,274
2020-03-17,2020-09-25 17:20:02,NA,13
2020-04-26,2020-09-25 17:20:02,92,114
2020-03-22,2020-09-25 17:20:02,11,39
2020-03-29,2020-09-25 17:20:02,52,163
2020-06-05,2020-09-25 17:20:02,22,97
2020-05-21,2020-09-25 17:20:02,38,281
2020-07-03,2020-09-25 17:20:02,12,118
2020-08-28,2020-09-25 17:20:02,8,120
2020-08-17,2020-09-25 17:20:02,12,76
2020-03-18,2020-09-25 17:20:02,NA,7
2020-05-27,2020-09-25 17:20:02,43,144
2020-05-13,2020-09-25 17:20:02,54,191
2020-04-09,2020-09-25 17:20:02,142,441
2020-08-01,2020-09-25 17:20:02,14,57
2020-07-30,2020-09-25 17:20:02,7,129
2020-06-27,2020-09-25 17:20:02,15,97
2020-09-20,2020-09-25 17:20:02,NA,47
2020-08-08,2020-09-25 17:20:02,8,86
2020-08-11,2020-09-25 17:20:02,15,151
2020-06-03,2020-09-25 17:20:02,34,113
2020-08-30,2020-09-25 17:20:02,7,78
2020-08-14,2020-09-25 17:20:02,10,119
2020-05-07,2020-09-25 17:20:02,58,254
2020-07-12,2020-09-25 17:20:02,17,70
2020-06-14,2020-09-25 17:20:02,15,45
2020-07-14,2020-09-25 17:20:02,17,127
2020-04-28,2020-09-25 17:20:02,98,372
2020-09-18,2020-09-25 17:20:02,NA,97
2020-08-13,2020-09-25 17:20:02,NA,97
2020-09-09,2020-09-25 17:20:02,NA,61
2020-06-24,2020-09-25 17:20:02,18,112
2020-03-14,2020-09-25 17:20:02,NA,5
2020-05-29,2020-09-25 17:20:02,28,178
2020-04-07,2020-09-25 17:20:02,139,373
2020-09-07,2020-09-25 17:20:02,NA,50
2020-08-06,2020-09-25 17:20:02,16,146
2020-09-23,2020-09-25 17:20:02,NA,69
2020-09-13,2020-09-25 17:20:02,NA,57
