date,etl_timestamp,NO_UNKNOWN,Yes
2020-03-14,2020-08-17 17:20:01,5,NA
2020-05-29,2020-08-17 17:20:01,175,27
2020-04-03,2020-08-17 17:20:01,381,131
2020-03-28,2020-08-17 17:20:01,106,40
2020-05-11,2020-08-17 17:20:01,188,57
2020-08-15,2020-08-17 17:20:01,78,NA
2020-04-07,2020-08-17 17:20:01,373,139
2020-08-06,2020-08-17 17:20:01,151,10
2020-07-08,2020-08-17 17:20:01,108,13
2020-06-15,2020-08-17 17:20:01,74,21
2020-03-29,2020-08-17 17:20:01,162,53
2020-06-05,2020-08-17 17:20:01,97,20
2020-04-20,2020-08-17 17:20:01,361,129
2020-03-19,2020-08-17 17:20:01,27,5
2020-04-11,2020-08-17 17:20:01,294,122
2020-05-10,2020-08-17 17:20:01,96,25
2020-07-07,2020-08-17 17:20:01,124,15
2020-03-26,2020-08-17 17:20:01,128,67
2020-04-30,2020-08-17 17:20:01,333,98
2020-03-17,2020-08-17 17:20:01,13,NA
2020-03-22,2020-08-17 17:20:01,38,13
2020-08-16,2020-08-17 17:20:01,62,NA
2020-03-18,2020-08-17 17:20:01,7,NA
