racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-15 17:20:01,903,2778
White,2020-08-15 17:20:01,1111,3981
UNKNOWN,2020-08-15 17:20:01,73,197
Native American,2020-08-15 17:20:01,4,26
Asian,2020-08-15 17:20:01,256,812
AFRICAN AMERICAN,2020-08-15 17:20:01,3786,10373
NA,2020-08-15 17:20:01,147,6569
Pacific Islander,2020-08-15 17:20:01,6,9
OTHER,2020-08-15 17:20:01,251,904
