racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-29 17:20:02,931,3362
White,2020-08-29 17:20:02,1137,4470
UNKNOWN,2020-08-29 17:20:02,60,198
Native American,2020-08-29 17:20:02,4,26
Asian,2020-08-29 17:20:02,257,881
AFRICAN AMERICAN,2020-08-29 17:20:02,3846,10979
NA,2020-08-29 17:20:02,146,6082
Pacific Islander,2020-08-29 17:20:02,6,9
OTHER,2020-08-29 17:20:02,255,958
