racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-10 17:20:02,965,3813
White,2020-09-10 17:20:02,1175,4970
UNKNOWN,2020-09-10 17:20:02,58,213
Native American,2020-09-10 17:20:02,4,26
Asian,2020-09-10 17:20:02,260,923
AFRICAN AMERICAN,2020-09-10 17:20:02,3885,11488
NA,2020-09-10 17:20:02,131,5651
Pacific Islander,2020-09-10 17:20:02,6,10
OTHER,2020-09-10 17:20:02,255,1054
