racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-09 17:20:02,964,3804
White,2020-09-09 17:20:02,1173,4896
UNKNOWN,2020-09-09 17:20:02,59,205
Native American,2020-09-09 17:20:02,4,26
Asian,2020-09-09 17:20:02,260,924
AFRICAN AMERICAN,2020-09-09 17:20:02,3878,11421
NA,2020-09-09 17:20:02,133,5739
Pacific Islander,2020-09-09 17:20:02,6,10
OTHER,2020-09-09 17:20:02,255,1053
