racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-21 17:20:03,904,2824
White,2020-08-21 17:20:03,1115,4028
UNKNOWN,2020-08-21 17:20:03,72,199
Native American,2020-08-21 17:20:03,4,26
Asian,2020-08-21 17:20:03,256,815
AFRICAN AMERICAN,2020-08-21 17:20:03,3806,10476
NA,2020-08-21 17:20:03,149,6928
Pacific Islander,2020-08-21 17:20:03,6,9
OTHER,2020-08-21 17:20:03,252,922
