racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-28 17:20:02,999,4004
White,2020-09-28 17:20:02,1215,5326
UNKNOWN,2020-09-28 17:20:02,61,234
Native American,2020-09-28 17:20:02,4,27
Asian,2020-09-28 17:20:02,256,972
AFRICAN AMERICAN,2020-09-28 17:20:02,3966,11777
NA,2020-09-28 17:20:02,142,6078
Pacific Islander,2020-09-28 17:20:02,6,10
OTHER,2020-09-28 17:20:02,264,1111
