racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-14 17:20:02,903,2769
White,2020-08-14 17:20:02,1109,3973
UNKNOWN,2020-08-14 17:20:02,72,190
Native American,2020-08-14 17:20:02,4,26
Asian,2020-08-14 17:20:02,256,813
AFRICAN AMERICAN,2020-08-14 17:20:02,3786,10356
NA,2020-08-14 17:20:02,147,6483
Pacific Islander,2020-08-14 17:20:02,6,9
OTHER,2020-08-14 17:20:02,251,904
