racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-22 17:20:03,1001,3971
White,2020-09-22 17:20:03,1204,5265
UNKNOWN,2020-09-22 17:20:03,61,227
Native American,2020-09-22 17:20:03,4,26
Asian,2020-09-22 17:20:03,260,963
AFRICAN AMERICAN,2020-09-22 17:20:03,3950,11703
NA,2020-09-22 17:20:03,134,5757
Pacific Islander,2020-09-22 17:20:03,6,10
OTHER,2020-09-22 17:20:03,264,1095
