racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-17 17:20:02,971,3914
White,2020-09-17 17:20:02,1188,5136
UNKNOWN,2020-09-17 17:20:02,61,218
Native American,2020-09-17 17:20:02,4,26
Asian,2020-09-17 17:20:02,260,944
AFRICAN AMERICAN,2020-09-17 17:20:02,3913,11607
NA,2020-09-17 17:20:02,133,5799
Pacific Islander,2020-09-17 17:20:02,6,10
OTHER,2020-09-17 17:20:02,259,1080
