racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-28 17:20:02,931,3351
White,2020-08-28 17:20:02,1137,4465
UNKNOWN,2020-08-28 17:20:02,60,193
Native American,2020-08-28 17:20:02,4,26
Asian,2020-08-28 17:20:02,257,881
AFRICAN AMERICAN,2020-08-28 17:20:02,3846,10974
NA,2020-08-28 17:20:02,146,6004
Pacific Islander,2020-08-28 17:20:02,6,9
OTHER,2020-08-28 17:20:02,255,950
