racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-24 17:20:02,909,3198
White,2020-08-24 17:20:02,1119,4370
UNKNOWN,2020-08-24 17:20:02,65,193
Native American,2020-08-24 17:20:02,4,26
Asian,2020-08-24 17:20:02,256,868
AFRICAN AMERICAN,2020-08-24 17:20:02,3817,10880
NA,2020-08-24 17:20:02,142,5999
Pacific Islander,2020-08-24 17:20:02,6,9
OTHER,2020-08-24 17:20:02,252,941
