racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-16 17:20:03,971,3902
White,2020-09-16 17:20:03,1184,5109
UNKNOWN,2020-09-16 17:20:03,61,216
Native American,2020-09-16 17:20:03,4,26
Asian,2020-09-16 17:20:03,260,941
AFRICAN AMERICAN,2020-09-16 17:20:03,3905,11584
NA,2020-09-16 17:20:03,133,5794
Pacific Islander,2020-09-16 17:20:03,6,10
OTHER,2020-09-16 17:20:03,258,1077
