racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-20 17:20:02,904,2822
White,2020-08-20 17:20:02,1113,4019
UNKNOWN,2020-08-20 17:20:02,73,199
Native American,2020-08-20 17:20:02,4,26
Asian,2020-08-20 17:20:02,256,815
AFRICAN AMERICAN,2020-08-20 17:20:02,3787,10449
NA,2020-08-20 17:20:02,150,6873
Pacific Islander,2020-08-20 17:20:02,6,9
OTHER,2020-08-20 17:20:02,252,917
