racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-21 17:20:03,988,3924
White,2020-09-21 17:20:03,1198,5160
UNKNOWN,2020-09-21 17:20:03,62,231
Native American,2020-09-21 17:20:03,4,26
Asian,2020-09-21 17:20:03,260,947
AFRICAN AMERICAN,2020-09-21 17:20:03,3935,11627
NA,2020-09-21 17:20:03,134,5962
Pacific Islander,2020-09-21 17:20:03,6,10
OTHER,2020-09-21 17:20:03,263,1088
