racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-19 17:20:03,988,3911
White,2020-09-19 17:20:03,1198,5128
UNKNOWN,2020-09-19 17:20:03,62,229
Native American,2020-09-19 17:20:03,4,26
Asian,2020-09-19 17:20:03,260,946
AFRICAN AMERICAN,2020-09-19 17:20:03,3934,11594
NA,2020-09-19 17:20:03,134,5811
Pacific Islander,2020-09-19 17:20:03,6,10
OTHER,2020-09-19 17:20:03,262,1080
