racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-08-22 17:20:01,909,3194
White,2020-08-22 17:20:01,1119,4357
UNKNOWN,2020-08-22 17:20:01,65,193
Native American,2020-08-22 17:20:01,4,26
Asian,2020-08-22 17:20:01,256,866
AFRICAN AMERICAN,2020-08-22 17:20:01,3817,10863
NA,2020-08-22 17:20:01,142,5919
Pacific Islander,2020-08-22 17:20:01,6,9
OTHER,2020-08-22 17:20:01,252,939
