racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-12 17:20:02,969,3819
White,2020-09-12 17:20:02,1180,5000
UNKNOWN,2020-09-12 17:20:02,60,217
Native American,2020-09-12 17:20:02,4,26
Asian,2020-09-12 17:20:02,260,924
AFRICAN AMERICAN,2020-09-12 17:20:02,3895,11505
NA,2020-09-12 17:20:02,135,5767
Pacific Islander,2020-09-12 17:20:02,6,10
OTHER,2020-09-12 17:20:02,257,1060
