racial_identity,etl_timestamp,Yes,NO_UNKNOWN
HISPANIC,2020-09-30 17:20:02,1000,4105
White,2020-09-30 17:20:02,1220,5524
UNKNOWN,2020-09-30 17:20:02,62,235
Native American,2020-09-30 17:20:02,4,27
Asian,2020-09-30 17:20:02,256,990
AFRICAN AMERICAN,2020-09-30 17:20:02,3977,11874
NA,2020-09-30 17:20:02,147,6402
Pacific Islander,2020-09-30 17:20:02,6,10
OTHER,2020-09-30 17:20:02,265,1122
