age,etl_timestamp,NO_UNKNOWN,Yes
<20,2020-08-31 17:20:02,2107,120
20-34,2020-08-31 17:20:02,8504,712
35-54,2020-08-31 17:20:02,8926,1553
55-74,2020-08-31 17:20:02,5729,2701
75+,2020-08-31 17:20:02,1854,1555
