age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-12 17:20:02,124,2388
75+,2020-09-12 17:20:02,1576,1894
55-74,2020-09-12 17:20:02,2741,5860
35-54,2020-09-12 17:20:02,1585,9151
20-34,2020-09-12 17:20:02,737,9015
