age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-25 17:20:02,124,2548
75+,2020-09-25 17:20:02,1617,1894
55-74,2020-09-25 17:20:02,2781,6012
35-54,2020-09-25 17:20:02,1626,9383
20-34,2020-09-25 17:20:02,757,9422
