age,etl_timestamp,Yes,NO_UNKNOWN
<20,2020-09-16 17:20:03,123,2436
75+,2020-09-16 17:20:03,1585,1899
55-74,2020-09-16 17:20:03,2745,5921
35-54,2020-09-16 17:20:03,1589,9224
20-34,2020-09-16 17:20:03,737,9160
